,,,,,Stock Code,,,,,,,,,
17576,22276,,,17576,,,,,,,,,,
16736,84912B,,,16736,,,,,,,,,,
14644,85014C,,,14644,,,,,,,,,,
14898,85014D,,,14898,,,,,,,,,,
14662,21326,,,14662,,,,,,,,,,
17414,84949,,,17414,,,,,,,,,,
14755,21908,,,14755,,,,,,,,,,
13037,21371,,,13037,,,,,,,,,,
14710,85152,,,14710,,,,,,,,,,
18168,21133,,,18168,,,,,,,,,,
17679,20984,,,17679,,,,,,,,,,
16570,20982,,,16570,,,,,,,,,,
17851,84971L,,,17851,,,,,,,,,,
14277,90168,,,14277,,,,,,,,,,
14750,84884A,,,14750,,,,,,,,,,
16549,90013C,,,16549,,,,,,,,,,
16791,90023,,,16791,,,,,,,,,,
16558,90067A,,,16558,,,,,,,,,,
15884,90067B,,,15884,,,,,,,,,,
17663,90145,,,17663,,,,,,,,,,
17343,90000A,,,17343,,,,,,,,,,
17372,90024B,,,17372,,,,,,,,,,
16003,90036D,,,16003,,,,,,,,,,
17432,90134,,,17432,,,,,,,,,,
14713,90131,,,14713,,,,,,,,,,
16722,90199C,,,16722,,,,,,,,,,
12577,35751C,,,12577,,,,,,,,,,
12872,72739B,,,12872,,,,,,,,,,
15755,22212,,,15755,,,,,,,,,,
14258,48187,,,14258,,,,,,,,,,
14286,48195,,,14286,,,,,,,,,,
13154,72741,,,13154,,,,,,,,,,
14564,85232D,,,14564,,,,,,,,,,
13408,20828,,,13408,,,,,,,,,,
16961,22080,,,16961,,,,,,,,,,
16645,22082,,,16645,,,,,,,,,,
12714,21784,,,12714,,,,,,,,,,
12525,21172,,,12525,,,,,,,,,,
16335,82600,,,16335,,,,,,,,,,
14221,22282,,,14221,,,,,,,,,,
13093,21842,,,13093,,,,,,,,,,
12759,22089,,,12759,,,,,,,,,,
13666,20734,,,13666,,,,,,,,,,
17160,35071,,,17160,,,,,,,,,,
13946,22121,,,13946,,,,,,,,,,
14723,84836,,,14723,,,,,,,,,,
14961,37492A,,,14961,,,,,,,,,,
14735,10133,,,14735,,,,,,,,,,
18061,22113,,,18061,,,,,,,,,,
15078,20782,,,15078,,,,,,,,,,
17389,22190,,,17389,,,,,,,,,,
16883,84029G,,,16883,,,,,,,,,,
13175,21489,,,13175,,,,,,,,,,
17076,20987,,,17076,,,,,,,,,,
13948,20989,,,13948,,,,,,,,,,
18223,21868,,,18223,,,,,,,,,,
16192,21875,,,16192,,,,,,,,,,
16541,21826,,,16541,,,,,,,,,,
15999,21827,,,15999,,,,,,,,,,
15109,21828,,,15109,,,,,,,,,,
14680,16225,,,14680,,,,,,,,,,
18092,21829,,,18092,,,,,,,,,,
16891,21638,,,16891,,,,,,,,,,
13481,22218,,,13481,,,,,,,,,,
13807,22222,,,13807,,,,,,,,,,
12349,22305,,,12349,,,,,,,,,,
14979,22304,,,14979,,,,,,,,,,
16656,22302,,,16656,,,,,,,,,,
16746,22303,,,16746,,,,,,,,,,
17157,22127,,,17157,,,,,,,,,,
15309,21143,,,15309,,,,,,,,,,
16325,21639,,,16325,,,,,,,,,,
16723,22154,,,16723,,,,,,,,,,
16699,22155,,,16699,,,,,,,,,,
16710,21889,,,16710,,,,,,,,,,
12510,85045,,,12510,,,,,,,,,,
13162,85044,,,13162,,,,,,,,,,
15382,21587,,,15382,,,,,,,,,,
13680,21588,,,13680,,,,,,,,,,
12970,21818,,,12970,,,,,,,,,,
17935,21819,,,17935,,,,,,,,,,
17593,21817,,,17593,,,,,,,,,,
15767,48111,,,15767,,,,,,,,,,
17151,20685,,,17151,,,,,,,,,,
16451,48194,,,16451,,,,,,,,,,
17127,21495,,,17127,,,,,,,,,,
13694,47505,,,13694,,,,,,,,,,
14087,10135,,,14087,,,,,,,,,,
13733,37492C,,,13733,,,,,,,,,,
18181,20677,,,18181,,,,,,,,,,
13174,20676,,,13174,,,,,,,,,,
13329,21086,,,13329,,,,,,,,,,
17421,21948,,,17421,,,,,,,,,,
16351,21833,,,16351,,,,,,,,,,
15684,21832,,,15684,,,,,,,,,,
17884,22315,,,17884,,,,,,,,,,
15514,21870,,,15514,,,,,,,,,,
18225,22115,,,18225,,,,,,,,,,
13679,21166,,,13679,,,,,,,,,,
12748,21175,,,12748,,,,,,,,,,
13199,21174,,,13199,,,,,,,,,,
13487,22197,,,13487,,,,,,,,,,
17018,21094,,,17018,,,,,,,,,,
18071,72724,,,18071,,,,,,,,,,
16593,22103,,,16593,,,,,,,,,,
14238,37424,,,14238,,,,,,,,,,
15223,21136,,,15223,,,,,,,,,,
13021,21238,,,13021,,,,,,,,,,
17115,21240,,,17115,,,,,,,,,,
17850,21239,,,17850,,,,,,,,,,
14239,84007,,,14239,,,,,,,,,,
13999,84012,,,13999,,,,,,,,,,
13958,22077,,,13958,,,,,,,,,,
13641,85049A,,,13641,,,,,,,,,,
15420,85049E,,,15420,,,,,,,,,,
12359,22075,,,12359,,,,,,,,,,
12820,22076,,,12820,,,,,,,,,,
16410,79323LP,,,16410,,,,,,,,,,
15240,79342B,,,15240,,,,,,,,,,
16158,79341,,,16158,,,,,,,,,,
15484,21976,,,15484,,,,,,,,,,
14709,21498,,,14709,,,,,,,,,,
15057,84948,,,15057,,,,,,,,,,
14867,21537,,,14867,,,,,,,,,,
17642,20718,,,17642,,,,,,,,,,
13813,21173,,,13813,,,,,,,,,,
13589,85124A,,,13589,,,,,,,,,,
12417,21539,,,12417,,,,,,,,,,
17920,16169F,,,17920,,,,,,,,,,
12975,21527,,,12975,,,,,,,,,,
16104,21531,,,16104,,,,,,,,,,
17150,20914,,,17150,,,,,,,,,,
15059,21242,,,15059,,,,,,,,,,
16277,21535,,,16277,,,,,,,,,,
17244,21844,,,17244,,,,,,,,,,
15260,22073,,,15260,,,,,,,,,,
12583,22072,,,12583,,,,,,,,,,
15555,15056BL,,,15555,,,,,,,,,,
13736,15056N,,,13736,,,,,,,,,,
14133,22254,,,14133,,,,,,,,,,
15571,22255,,,15571,,,,,,,,,,
13448,46000S,,,13448,,,,,,,,,,
17085,20964,,,17085,,,,,,,,,,
14468,21788,,,14468,,,,,,,,,,
16395,21789,,,16395,,,,,,,,,,
16485,20682,,,16485,,,,,,,,,,
15878,84832,,,15878,,,,,,,,,,
15860,85063,,,15860,,,,,,,,,,
13373,48129,,,13373,,,,,,,,,,
14608,22030,,,14608,,,,,,,,,,
14896,21081,,,14896,,,,,,,,,,
14717,20773,,,14717,,,,,,,,,,
16964,20767,,,16964,,,,,,,,,,
15983,22028,,,15983,,,,,,,,,,
13782,20622,,,13782,,,,,,,,,,
14454,21122,,,14454,,,,,,,,,,
16718,21124,,,16718,,,,,,,,,,
15751,20657,,,15751,,,,,,,,,,
14546,16156N,,,14546,,,,,,,,,,
17848,20673,,,17848,,,,,,,,,,
17561,84520B,,,17561,,,,,,,,,,
15547,20619,,,15547,,,,,,,,,,
17969,21866,,,17969,,,,,,,,,,
17406,20660,,,17406,,,,,,,,,,
14479,20777,,,14479,,,,,,,,,,
14548,20774,,,14548,,,,,,,,,,
17916,22037,,,17916,,,,,,,,,,
15822,22036,,,15822,,,,,,,,,,
13211,21726,,,13211,,,,,,,,,,
13319,21544,,,13319,,,,,,,,,,
17610,21004,,,17610,,,,,,,,,,
16773,84402D,,,16773,,,,,,,,,,
15479,84660B,,,15479,,,,,,,,,,
13890,21429,,,13890,,,,,,,,,,
15641,72754B,,,15641,,,,,,,,,,
14123,21500,,,14123,,,,,,,,,,
13019,21431,,,13019,,,,,,,,,,
17858,20748,,,17858,,,,,,,,,,
14940,72802B,,,14940,,,,,,,,,,
16686,72803A,,,16686,,,,,,,,,,
15691,79029,,,15691,,,,,,,,,,
16436,21591,,,16436,,,,,,,,,,
17530,72801E,,,17530,,,,,,,,,,
13491,21034,,,13491,,,,,,,,,,
14003,85049D,,,14003,,,,,,,,,,
12839,21985,,,12839,,,,,,,,,,
17557,21980,,,17557,,,,,,,,,,
14738,16235,,,14738,,,,,,,,,,
16124,84347,,,16124,,,,,,,,,,
14113,84990,,,14113,,,,,,,,,,
17739,85231E,,,17739,,,,,,,,,,
16556,85231B,,,16556,,,,,,,,,,
14695,72008,,,14695,,,,,,,,,,
14828,22071,,,14828,,,,,,,,,,
15115,22070,,,15115,,,,,,,,,,
13693,84270,,,13693,,,,,,,,,,
14955,85049C,,,14955,,,,,,,,,,
14037,84352,,,14037,,,,,,,,,,
18077,79067,,,18077,,,,,,,,,,
13905,22203,,,13905,,,,,,,,,,
17508,21353,,,17508,,,,,,,,,,
16768,21538,,,16768,,,,,,,,,,
13984,21534,,,13984,,,,,,,,,,
13495,85053,,,13495,,,,,,,,,,
13190,22118,,,13190,,,,,,,,,,
14408,35832,,,14408,,,,,,,,,,
15358,D,,,15358,,,,,,,,,,
17707,21375,,,17707,,,,,,,,,,
17044,22186,,,17044,,,,,,,,,,
14471,47504K,,,14471,,,,,,,,,,
17436,47504F,,,17436,,,,,,,,,,
13234,21809,,,13234,,,,,,,,,,
16404,21186,,,16404,,,,,,,,,,
14574,21611,,,14574,,,,,,,,,,
15716,21480,,,15716,,,,,,,,,,
16684,85170A,,,16684,,,,,,,,,,
14540,85033S,,,14540,,,,,,,,,,
14307,35991,,,14307,,,,,,,,,,
18219,22185,,,18219,,,,,,,,,,
12747,21786,,,12747,,,,,,,,,,
18162,84388,,,18162,,,,,,,,,,
17441,21918,,,17441,,,,,,,,,,
17988,51012C,,,17988,,,,,,,,,,
12600,84671B,,,12600,,,,,,,,,,
13206,21747,,,13206,,,,,,,,,,
14512,22330,,,14512,,,,,,,,,,
16353,84375,,,16353,,,,,,,,,,
16018,84952B,,,16018,,,,,,,,,,
14670,20961,,,14670,,,,,,,,,,
14590,20960,,,14590,,,,,,,,,,
12677,20966,,,12677,,,,,,,,,,
12424,17164D,,,12424,,,,,,,,,,
17457,21890,,,17457,,,,,,,,,,
15421,85170D,,,15421,,,,,,,,,,
17990,17091J,,,17990,,,,,,,,,,
13148,20975,,,13148,,,,,,,,,,
17364,21440,,,17364,,,,,,,,,,
13042,22174,,,13042,,,,,,,,,,
12443,22150,,,12443,,,,,,,,,,
15694,22147,,,15694,,,,,,,,,,
16717,21356,,,16717,,,,,,,,,,
17231,21357,,,17231,,,,,,,,,,
16702,21677,,,16702,,,,,,,,,,
13267,21680,,,13267,,,,,,,,,,
12540,21730,,,12540,,,,,,,,,,
17270,70007,,,17270,,,,,,,,,,
14209,70006,,,14209,,,,,,,,,,
14763,21650,,,14763,,,,,,,,,,
14013,21892,,,14013,,,,,,,,,,
13393,85227,,,13393,,,,,,,,,,
15369,20655,,,15369,,,,,,,,,,
12358,21990,,,12358,,,,,,,,,,
18259,21934,,,18259,,,,,,,,,,
17047,21578,,,17047,,,,,,,,,,
14136,21579,,,14136,,,,,,,,,,
16735,21577,,,16735,,,,,,,,,,
14215,20713,,,14215,,,,,,,,,,
15971,20712,,,15971,,,,,,,,,,
14295,16047,,,14295,,,,,,,,,,
13382,21561,,,13382,,,,,,,,,,
13025,20814,,,13025,,,,,,,,,,
16013,22068,,,16013,,,,,,,,,,
18002,21377,,,18002,,,,,,,,,,
17854,21379,,,17854,,,,,,,,,,
15079,20956,,,15079,,,,,,,,,,
16029,21018,,,16029,,,,,,,,,,
18271,35995,,,18271,,,,,,,,,,
14290,22355,,,14290,,,,,,,,,,
17268,21581,,,17268,,,,,,,,,,
17067,20727,,,17067,,,,,,,,,,
16560,21071,,,16560,,,,,,,,,,
14861,21068,,,14861,,,,,,,,,,
17371,22189,,,17371,,,,,,,,,,
13091,48179,,,13091,,,,,,,,,,
18145,48188,,,18145,,,,,,,,,,
16400,48184,,,16400,,,,,,,,,,
15093,21777,,,15093,,,,,,,,,,
13643,20969,,,13643,,,,,,,,,,
17852,20968,,,17852,,,,,,,,,,
17213,21737,,,17213,,,,,,,,,,
15456,84899F,,,15456,,,,,,,,,,
13571,84898F,,,13571,,,,,,,,,,
16732,22207,,,16732,,,,,,,,,,
16940,21016,,,16940,,,,,,,,,,
15162,20829,,,15162,,,,,,,,,,
18203,85231G,,,18203,,,,,,,,,,
14494,21407,,,14494,,,,,,,,,,
17978,72800F,,,17978,,,,,,,,,,
15031,21993,,,15031,,,,,,,,,,
14085,21486,,,14085,,,,,,,,,,
17230,21813,,,17230,,,,,,,,,,
13915,21812,,,13915,,,,,,,,,,
13410,21488,,,13410,,,,,,,,,,
14925,75013B,,,14925,,,,,,,,,,
14063,72800E,,,14063,,,,,,,,,,
12785,72801G,,,12785,,,,,,,,,,
13081,72801F,,,13081,,,,,,,,,,
14605,22183,,,14605,,,,,,,,,,
14337,21732,,,14337,,,,,,,,,,
16703,21254,,,16703,,,,,,,,,,
14285,85041,,,14285,,,,,,,,,,
16892,85040B,,,16892,,,,,,,,,,
16523,37461,,,16523,,,,,,,,,,
16805,21700,,,16805,,,,,,,,,,
13204,20692,,,13204,,,,,,,,,,
15924,16237,,,15924,,,,,,,,,,
15823,37410,,,15823,,,,,,,,,,
13576,84251F,,,13576,,,,,,,,,,
17178,21080,,,17178,,,,,,,,,,
13798,21967,,,13798,,,,,,,,,,
18275,22110,,,18275,,,,,,,,,,
15317,84977,,,15317,,,,,,,,,,
13855,18010,,,13855,,,,,,,,,,
15298,22152,,,15298,,,,,,,,,,
15903,72267,,,15903,,,,,,,,,,
16822,22081,,,16822,,,,,,,,,,
14864,22079,,,14864,,,,,,,,,,
12746,20758,,,12746,,,,,,,,,,
15674,20756,,,15674,,,,,,,,,,
13414,21126,,,13414,,,,,,,,,,
13902,21125,,,13902,,,,,,,,,,
14679,22102,,,14679,,,,,,,,,,
18070,35955,,,18070,,,,,,,,,,
18252,35954,,,18252,,,,,,,,,,
15935,35957,,,15935,,,,,,,,,,
16253,84050,,,16253,,,,,,,,,,
13883,47568,,,13883,,,,,,,,,,
13136,84782A,,,13136,,,,,,,,,,
17531,84782C,,,17531,,,,,,,,,,
16853,22169,,,16853,,,,,,,,,,
17340,84933A,,,17340,,,,,,,,,,
13112,84933B,,,13112,,,,,,,,,,
13557,22201,,,13557,,,,,,,,,,
16204,37503,,,16204,,,,,,,,,,
15633,21593,,,15633,,,,,,,,,,
15203,22085,,,15203,,,,,,,,,,
17612,85099C,,,17612,,,,,,,,,,
14907,22348,,,14907,,,,,,,,,,
13107,85061W,,,13107,,,,,,,,,,
15137,21781,,,15137,,,,,,,,,,
14817,20768,,,14817,,,,,,,,,,
15181,21082,,,15181,,,,,,,,,,
13872,47591B,,,13872,,,,,,,,,,
14267,22196,,,14267,,,,,,,,,,
17188,84968C,,,17188,,,,,,,,,,
13455,84968F,,,13455,,,,,,,,,,
12487,84968B,,,12487,,,,,,,,,,
12896,85231L,,,12896,,,,,,,,,,
13114,21618,,,13114,,,,,,,,,,
14291,21615,,,14291,,,,,,,,,,
12712,21619,,,12712,,,,,,,,,,
12472,21612,,,12472,,,,,,,,,,
14732,85049B,,,14732,,,,,,,,,,
13202,85049G,,,13202,,,,,,,,,,
16945,21770,,,16945,,,,,,,,,,
13672,37500,,,13672,,,,,,,,,,
17929,21637,,,17929,,,,,,,,,,
16771,21901,,,16771,,,,,,,,,,
16782,21900,,,16782,,,,,,,,,,
18051,21902,,,18051,,,,,,,,,,
16912,21223,,,16912,,,,,,,,,,
12924,85049H,,,12924,,,,,,,,,,
15403,21576,,,15403,,,,,,,,,,
